open,high,low,close,volume,vwap,timestamp,transactions,otc
169.34,172.03,167.62,170.69,56294419.0,170.297,1695873600000,618584,
172.02,173.07,170.341,171.21,51861083.0,171.5997,1695960000000,535134,
171.22,174.3,170.93,173.75,52156935.0,173.2879,1696219200000,617249,
172.255,173.63,170.82,172.4,49594613.0,172.1342,1696305600000,542569,
171.09,174.21,170.97,173.66,53006286.0,172.9437,1696392000000,560975,
173.79,175.45,172.68,174.91,48527918.0,174.2297,1696478400000,509175,
173.8,177.99,173.18,177.49,57266675.0,176.3366,1696564800000,593944,
176.81,179.05,175.8,178.99,42344772.0,177.8683,1696824000000,518256,
178.1,179.72,177.95,178.39,43698019.0,178.6901,1696910400000,524939,
178.2,179.85,177.6,179.8,47544848.0,178.9503,1696996800000,503477,
180.07,182.34,179.04,180.71,56743119.0,180.9482,1697083200000,616891,
181.42,181.93,178.14,178.85,51412082.0,179.4154,1697169600000,531441,
176.75,179.075,176.51,178.72,52516984.0,178.1478,1697428800000,632605,
176.645,178.42,174.8,177.15,57549350.0,176.8623,1697515200000,592323,
175.58,177.575,175.11,175.84,54764375.0,176.3501,1697601600000,540187,
176.04,177.84,175.19,175.46,59192863.0,176.215,1697688000000,560260,
175.31,175.42,172.64,172.88,64211828.0,173.7459,1697774400000,600318,
170.91,174.01,169.93,173.0,55980109.0,172.3829,1698033600000,639616,
173.05,173.67,171.45,173.44,43816644.0,172.7333,1698120000000,530406,
171.88,173.06,170.65,171.1,57156962.0,171.4932,1698206400000,610143,
170.37,171.3775,165.67,166.89,70625258.0,167.5944,1698292800000,815217,
166.91,168.96,166.83,168.22,58257129.0,167.9072,1698379200000,609511,
169.02,171.17,168.87,170.29,51130955.0,170.0774,1698638400000,628253,
169.35,170.9,167.9,170.77,44846017.0,169.9252,1698724800000,509879,
171.0,174.23,170.12,173.97,56934906.0,172.6187,1698811200000,633476,
175.52,177.78,175.46,177.57,77292052.0,176.6794,1698897600000,805046,
174.24,176.82,173.35,176.65,79829246.0,175.5751,1698984000000,858038,
176.38,179.43,176.21,179.23,63841310.0,178.5589,1699246800000,678103,
179.18,182.44,178.97,181.82,70529966.0,181.2627,1699333200000,653779,
182.35,183.45,181.59,182.89,49340282.0,182.6566,1699419600000,542421,
182.96,184.12,181.81,182.41,53631840.0,182.912,1699506000000,545657,
183.97,186.565,183.53,186.4,66177922.0,185.4104,1699592400000,610938,
185.82,186.03,184.21,184.8,43627519.0,184.8317,1699851600000,530407,
187.7,188.11,186.3,187.44,60108378.0,187.2038,1699938000000,609218,
187.845,189.5,187.78,188.01,53608999.0,188.4191,1700024400000,564159,
189.57,190.96,188.65,189.71,54412915.0,189.7109,1700110800000,620748,
190.25,190.38,188.57,189.69,50737404.0,189.6022,1700197200000,510217,
189.89,191.905,189.88,191.45,46538614.0,191.2984,1700456400000,554014,
191.41,191.52,189.74,190.64,38134485.0,190.51,1700542800000,450749,
191.49,192.93,190.825,191.31,39630011.0,191.7223,1700629200000,463560,
190.87,190.9,189.25,189.97,24018404.0,189.7899,1700802000000,335946,
189.92,190.67,188.9,189.79,40456609.0,189.7974,1701061200000,508895,
